listing_id,year,review_count
22837370,2019,18
4811467,2015,45
11008284,2016,4
19485214,2020,1
18144976,2019,1
865472,2020,1
40853433,2020,2
28942093,2019,56
21872224,2018,1
25806562,2020,1
30406311,2019,10
20642156,2019,1
3155773,2015,7
40962340,2020,8
6190013,2020,2
44328669,2021,1
41888020,2020,2
39274554,2020,12
18396144,2017,1
720221,2015,2
28273412,2019,15
12747571,2017,21
44670520,2020,12
28914123,2018,1
7318420,2016,1
40929734,2020,11
8924579,2020,1
11085173,2018,1
13642568,2019,1
4517942,2017,14
31721829,2019,7
28621124,2019,1
4064649,2014,1
6034586,2019,1
5849207,2015,6
30832106,2018,1
13915871,2019,5
13965638,2017,1
6085826,2016,10
684808,2014,2
37723620,2020,24
16599073,2018,32
16068940,2020,1
1712837,2017,2
16266452,2017,6
6065186,2019,2
4954662,2015,3
11175693,2016,1
5212881,2020,1
25552808,2019,5
33254311,2020,6
13464554,2019,1
4876386,2019,7
12855398,2019,16
38451117,2020,26
12382163,2019,1
16293188,2020,6
16372089,2019,2
9425524,2016,1
38415935,2020,24
22639682,2018,17
41311684,2021,7
23996565,2020,4
26385422,2018,1
29411158,2019,18
33824182,2019,8
1350985,2016,10
28418522,2019,1
2398697,2017,1
36599773,2019,1
37512577,2020,13
5144979,2016,19
57754,2019,18
44092934,2020,6
26625945,2019,1
15926249,2018,1
12587406,2016,25
756299,2016,6
37486021,2020,6
36654008,2020,5
8485272,2016,28
524924,2020,5
19786240,2018,4
3055855,2014,5
32919197,2020,25
33779851,2019,6
1382047,2020,1
30170964,2019,2
19586723,2017,3
9140055,2019,22
6506363,2017,3
39654007,2020,9
39056178,2019,12
7201335,2018,5
4165642,2014,5
6474884,2015,16
1950903,2018,1
32104266,2019,11
46144069,2020,1
38696173,2021,7
637931,2020,1
7100391,2018,3
14473548,2017,17
29562736,2019,1
17712025,2017,2
14763255,2018,15
44686963,2020,3
374069,2016,24
30424580,2020,1
39583400,2019,5
9493103,2019,1
23791290,2021,1
26404680,2019,2
2237624,2018,22
44241960,2020,1
2659376,2019,26
5795491,2018,2
38222425,2019,9
21800081,2018,1
37156236,2020,4
1173981,2021,1
11896625,2018,20
13663454,2019,55
21900257,2020,9
2464417,2018,52
15772750,2018,5
42797191,2020,1
33995355,2019,5
2561916,2014,12
13822852,2019,2
16883764,2021,1
4194494,2014,2
16146328,2018,19
19836179,2017,6
14397514,2016,3
45710638,2020,2
5367519,2019,48
28779900,2020,1
30915627,2019,23
25938492,2019,20
36055501,2019,3
18047883,2017,20
22086315,2019,1
16921553,2019,50
10427156,2019,19
13917962,2016,2
21792169,2020,4
6323770,2015,3
15314397,2020,3
8849319,2020,1
42371930,2021,1
12067652,2017,1
2739990,2021,2
11051931,2016,4
4503516,2017,1
5159335,2017,23
29540196,2019,7
32536202,2020,27
19728224,2017,36
9667405,2020,1
39764905,2020,5
28053933,2018,11
37929493,2019,1
4885238,2017,15
39536756,2019,9
3932400,2019,2
994993,2018,2
5179079,2017,20
24607988,2019,61
659952,2015,3
34211014,2019,19
26377420,2019,49
36536831,2019,6
3721741,2016,1
47022069,2020,1
1789941,2019,1
451411,2014,1
26182526,2018,1
21723666,2018,10
6916389,2016,7
22122620,2017,1
5346906,2017,22
40207537,2019,1
30087377,2019,6
997247,2013,19
14569095,2018,18
15519489,2016,2
7593968,2017,2
6923146,2018,6
39700085,2019,1
13697506,2016,4
31997230,2020,1
3627569,2019,2
41734344,2020,3
2786015,2015,18
